date,open,close,high,low,volume,money
2005-01-04,2.05,2.03,2.09,1.99,908257.0,1832271.0
2005-01-05,2.0,2.1,2.1,1.99,662597.0,1346123.0
2005-01-06,2.09,2.07,2.12,2.04,273795.0,567356.0
2005-01-07,2.06,2.11,2.14,2.06,247251.0,520476.0
2005-01-10,2.11,2.13,2.14,2.11,287991.0,613481.0
2005-01-11,2.12,2.13,2.17,2.11,228867.0,489970.0
2005-01-12,2.13,2.15,2.15,2.11,248921.0,530168.0
2005-01-13,2.15,2.2,2.2,2.14,322620.0,698827.0
2005-01-14,2.18,2.15,2.22,2.14,458838.0,997957.0
2005-01-17,2.13,2.11,2.15,2.1,600400.0,1272582.0
2005-01-18,2.07,2.15,2.15,2.07,213599.0,451384.0
2005-01-19,2.18,2.14,2.18,2.12,526986.0,1134514.0
2005-01-20,2.13,2.25,2.25,2.11,1459381.0,3262255.0
2005-01-21,2.29,2.27,2.35,2.26,4277585.0,9803042.0
2005-01-24,2.32,2.36,2.36,2.27,2691800.0,6276230.0
2005-01-25,2.39,2.38,2.4,2.34,3952289.0,9385563.0
2005-01-26,2.4,2.46,2.5,2.4,7565599.0,18658383.0
2005-01-27,2.42,2.33,2.42,2.33,3571319.0,8425956.0
2005-01-28,2.28,2.26,2.29,2.21,3257707.0,7283037.0
2005-01-31,2.26,2.28,2.33,2.26,2441334.0,5597269.0
2005-02-01,2.26,2.23,2.29,2.21,1164260.0,2602218.0
2005-02-02,2.23,2.31,2.31,2.22,1475185.0,3352621.0
2005-02-03,2.32,2.27,2.32,2.26,1012763.0,2310325.0
2005-02-04,2.25,2.29,2.31,2.24,1223088.0,2798045.0
2005-02-16,2.33,2.29,2.34,2.28,704810.0,1621096.0
2005-02-17,2.26,2.25,2.29,2.25,658593.0,1493771.0
2005-02-18,2.25,2.28,2.31,2.24,630933.0,1435217.0
2005-02-21,2.27,2.3,2.33,2.27,815376.0,1872731.0
2005-02-22,2.3,2.34,2.36,2.27,1907896.0,4413091.0
2005-02-23,2.34,2.34,2.36,2.29,1980204.0,4615026.0
2005-02-24,2.34,2.46,2.46,2.31,5140184.0,12443551.0
2005-02-25,2.46,2.44,2.48,2.4,3205283.0,7836759.0
2005-02-28,2.44,2.52,2.53,2.44,5896469.0,14706873.0
2005-03-01,2.58,2.65,2.65,2.57,4850827.0,12722748.0
2005-03-02,2.77,2.59,2.78,2.57,13470395.0,36355006.0
2005-03-03,2.58,2.67,2.68,2.53,4162452.0,10835847.0
2005-03-04,2.67,2.63,2.68,2.59,2808450.0,7359991.0
2005-03-07,2.63,2.63,2.63,2.63,0.0,0.0
2005-03-08,2.68,2.65,2.75,2.59,8344120.0,22154706.0
2005-03-09,2.61,2.57,2.63,2.55,4052949.0,10502362.0
2005-03-10,2.56,2.47,2.56,2.46,4290692.0,10686888.0
2005-03-11,2.45,2.51,2.51,2.44,2319777.0,5743214.0
2005-03-14,2.5,2.42,2.5,2.42,2033322.0,4970327.0
2005-03-15,2.41,2.32,2.42,2.32,2476220.0,5847331.0
2005-03-16,2.32,2.36,2.39,2.29,1957033.0,4607683.0
2005-03-17,2.36,2.29,2.36,2.29,1773505.0,4091119.0
2005-03-18,2.24,2.19,2.28,2.17,1605276.0,3588935.0
2005-03-21,2.18,2.21,2.25,2.15,993144.0,2183294.0
2005-03-22,2.2,2.09,2.22,2.07,1603789.0,3465874.0
2005-03-23,2.09,2.11,2.14,2.07,1388712.0,2920405.0
2005-03-24,2.11,2.18,2.2,2.09,1473544.0,3174490.0
2005-03-25,2.18,2.14,2.18,2.12,803129.0,1717674.0
2005-03-28,2.14,2.1,2.14,2.06,708507.0,1479945.0
2005-03-29,2.08,2.08,2.12,2.07,604127.0,1268302.0
2005-03-30,2.09,2.29,2.29,2.06,4969900.0,11175933.0
2005-03-31,2.32,2.53,2.53,2.32,11344811.0,27602134.0
2005-04-01,2.53,2.53,2.53,2.53,0.0,0.0
2005-04-04,2.53,2.53,2.53,2.53,0.0,0.0
2005-04-05,2.78,2.78,2.78,2.78,8478328.0,23568202.0
2005-04-06,2.84,2.89,3.02,2.79,27692747.0,79981108.0
2005-04-07,2.86,3.18,3.18,2.82,24058051.0,72887937.0
2005-04-08,3.18,3.39,3.45,3.16,27212650.0,90127258.0
2005-04-11,3.33,3.29,3.39,3.26,16720778.0,55399107.0
2005-04-12,3.28,3.26,3.44,3.21,16444603.0,54285128.0
2005-04-13,3.23,3.21,3.29,3.08,16945617.0,53945596.0
2005-04-14,3.22,3.19,3.33,3.12,14805167.0,47729946.0
2005-04-15,3.15,2.91,3.17,2.88,17612266.0,52255950.0
2005-04-18,2.87,2.95,2.98,2.84,11162729.0,32730671.0
2005-04-19,2.95,2.95,3.02,2.84,10637284.0,31261841.0
2005-04-20,2.95,2.89,3.05,2.87,10358245.0,30648678.0
2005-04-21,2.85,2.6,2.85,2.6,14800367.0,39716314.0
2005-04-22,2.54,2.59,2.67,2.54,8171139.0,21405870.0
2005-04-25,2.58,2.6,2.61,2.44,9067646.0,22849920.0
2005-04-26,2.59,2.72,2.76,2.54,13453309.0,36028474.0
2005-04-27,2.71,2.6,2.71,2.51,8039179.0,20863700.0
2005-04-28,2.59,2.86,2.86,2.55,12545570.0,34291320.0
2005-04-29,2.85,2.75,2.91,2.75,10971351.0,31134061.0
2005-05-09,2.75,2.6,2.75,2.59,4008342.0,10658979.0
2005-05-10,2.58,2.73,2.79,2.54,5280486.0,14108456.0
2005-05-11,2.73,2.66,2.79,2.65,5285735.0,14384265.0
2005-05-12,2.62,2.58,2.65,2.55,4878557.0,12627165.0
2005-05-13,2.55,2.4,2.62,2.32,7881106.0,19309303.0
2005-05-16,2.37,2.35,2.37,2.24,4557563.0,10530864.0
2005-05-17,2.33,2.42,2.47,2.32,5095566.0,12297147.0
2005-05-18,2.37,2.45,2.46,2.36,3800710.0,9159142.0
2005-05-19,2.44,2.41,2.45,2.36,3763918.0,9024729.0
2005-05-20,2.41,2.42,2.47,2.4,3720970.0,9081929.0
2005-05-23,2.41,2.39,2.41,2.31,3307421.0,7784085.0
2005-05-24,2.36,2.44,2.46,2.36,3577708.0,8704378.0
2005-05-25,2.42,2.51,2.58,2.41,7565302.0,19002765.0
2005-05-26,2.51,2.45,2.52,2.44,2851848.0,7050084.0
2005-05-27,2.41,2.39,2.5,2.38,2363064.0,5727087.0
2005-05-30,2.39,2.42,2.44,2.33,2447616.0,5828965.0
2005-05-31,2.42,2.37,2.44,2.36,2148264.0,5154904.0
2005-06-01,2.35,2.29,2.39,2.28,2786867.0,6476871.0
2005-06-02,2.29,2.3,2.35,2.27,2546290.0,5858921.0
2005-06-03,2.29,2.21,2.34,2.13,3108887.0,6992155.0
2005-06-06,2.2,2.29,2.3,2.17,2512111.0,5604573.0
2005-06-07,2.26,2.39,2.51,2.26,7019194.0,16805654.0
2005-06-08,2.37,2.59,2.61,2.36,9336594.0,23340759.0
2005-06-09,2.51,2.61,2.73,2.5,11153784.0,29025078.0
2005-06-10,2.6,2.58,2.7,2.54,7516905.0,19686937.0
2005-06-13,2.56,2.58,2.66,2.49,3302032.0,8485818.0
2005-06-14,2.58,2.52,2.61,2.5,3921368.0,9957348.0
2005-06-15,2.51,2.34,2.52,2.32,4734090.0,11395826.0
2005-06-16,2.34,2.36,2.42,2.33,3714039.0,8819387.0
2005-06-17,2.4,2.27,2.4,2.26,3834331.0,8876170.0
2005-06-20,2.27,2.41,2.42,2.26,3591962.0,8480345.0
2005-06-21,2.42,2.37,2.44,2.34,2427386.0,5776465.0
2005-06-22,2.37,2.36,2.37,2.32,1568071.0,3670169.0
2005-06-23,2.36,2.45,2.54,2.36,9096501.0,22411960.0
2005-06-24,2.44,2.48,2.5,2.41,4061285.0,10028364.0
2005-06-27,2.54,2.6,2.67,2.51,8941706.0,23100295.0
2005-06-28,2.6,2.6,2.6,2.6,0.0,0.0
2005-06-29,2.51,2.48,2.58,2.48,4086901.0,10275870.0
2005-06-30,2.44,2.35,2.48,2.35,3144585.0,7595375.0
2005-07-01,2.34,2.34,2.43,2.33,3076886.0,7330657.0
2005-07-04,2.32,2.38,2.39,2.22,2986784.0,6848200.0
2005-07-05,2.38,2.33,2.4,2.32,1851899.0,4380444.0
2005-07-06,2.33,2.29,2.37,2.28,2020898.0,4705904.0
2005-07-07,2.29,2.35,2.37,2.29,1356748.0,3169955.0
2005-07-08,2.36,2.27,2.36,2.22,2182712.0,4977133.0
